"date","name","description","type","locations"
"2016-03-20","Palm Sunday","Palm Sunday in Australia celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"2016-03-20","March Equinox",NA,"Season","All"
"2016-03-21","Harmony Day","Harmony Day is a national observance that celebrates Australia’s cultural, linguistic and religious diversity on March 21 every year.","Observance","All"
"2016-03-24","Maundy Thursday","Many Christians in the Australia celebrate Maundy Thursday on the Thursday before Good Friday.","Christian","All"
"2016-03-24","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"2016-03-25","Good Friday","Good Friday is two days before Easter Sunday and is a national holiday in Australia.","National holiday, Christian","All"
"2016-03-26","Holy Saturday","Holy Saturday is the day before Easter Sunday and is a public holiday in some states and the two territories in Australia.","Common local holiday","All except Tas, WA"
"2016-03-27","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Observance","All"
"2016-03-27","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","ACT"
"2016-03-27","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","Vic"
"2016-03-27","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","NSW"
"2016-03-28","Easter Monday","Easter Monday is the day after Easter Sunday and is a nationwide holiday in Australia.","National holiday, Christian","All"
"2016-03-29","Easter Tuesday","Easter Tuesday is a public holiday in the Australian state of Tasmania.","Local holiday","Tas"
"2016-04-03","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"2016-04-23","First day of Passover"," Passover is a Jewish observance of the liberation from slavery and the Israelites' exodus from Egypt around 3000 years ago.","Hebrew","All"
"2016-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","All except NT, WA"
"2016-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","NT"
"2016-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","WA"
"2016-04-29","Orthodox Good Friday","Many Orthodox Christians in Australia remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
"2016-04-30","Last day of Passover","The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","Hebrew","All"
"2016-04-30","Orthodox Holy Saturday","Many Orthodox Christians in Australia remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.","Orthodox","All"
"2016-05-01","Orthodox Easter","Many Orthodox Christians in Australia celebrate Jesus Christ’s resurrection on Easter Sunday, also known as Pascha.","Orthodox","All"
"2016-05-02","Orthodox Easter Monday","Many Orthodox churches in Australia observe Easter Monday on the day after the Orthodox Easter Sunday date.","Orthodox","All"
"2016-05-02","May Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NT"
"2016-05-02","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Qld"
"2016-05-04","Yom HaShoah","Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.","Hebrew","All"
"2016-05-05","Ascension Day","Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.","Christian","All"
"2016-05-05","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"2016-05-08","Mother's Day","Mother’s Day is celebrated in Australia on the second Sunday of May each year.","Observance","All"
"2016-05-12","Yom HaAtzmaut","Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2016-05-15","Pentecost","Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"2016-05-16","Whit Monday","Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.","Christian","All"
"2016-05-22","Trinity Sunday","Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.","Christian","All"
"2016-05-26","Corpus Christi","Corpus Christi is a Christian observance that honors the Holy Eucharist.","Christian","All"
"2016-05-26","Lag B'Omer","Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2016-05-26","National Sorry Day","National Sorry Day is an Australia-wide observance that acknowledges the impact of Australia’s Stolen Generations.","Observance","All"
"2016-06-06","Western Australia Day","Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.","Common local holiday","WA"
"2016-06-06","Queensland Day","Queenslanders commemorate their state’s birthday on Queensland Day in Australia.","Local observance","All"
"2016-06-07","Ramadan Start","Many Muslims in Australia welcome Ramadan as period of fasting, self-evaluation and spiritual growth. Ramadan is the ninth month in the Islamic calendar.","Muslim","All"
"2016-06-12","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.","Hebrew","All"
"2016-06-13","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","All except Qld, WA"
"2016-06-21","June Solstice",NA,"Season","All"
"2016-07-02","Laylatul Qadr (Night of Power)","Laylat al-Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.","Muslim","All"
"2016-07-03","First Day of NAIDOC Week",NA,"Observance","All"
"2016-07-06","Eid ul Fitr","Eid al-Fitr, which is on the first day of the Islamic month of Shawwal, marks the end of the month-long fast of Ramadan.","Muslim","All"
"2016-08-01","New South Wales Bank Holiday","The New South Wales Bank Holiday falls on the first Monday of August.","Local holiday","NSW"
"2016-08-01","Northern Territory Picnic Day","Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.","Local holiday","NT"
"2016-08-10","Royal National Agricultural Show Day Queensland","The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.","Local holiday","Qld"
"2016-08-14","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"2016-08-15","Assumption of Mary","The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.","Christian","All"
"2016-09-04","Father's Day","Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.","Observance","All"
"2016-09-13","Eid ul Adha","Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.","Muslim","All"
"2016-09-23","September Equinox",NA,"Season","All"
"2016-09-26","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","WA"
"2016-09-26","Family & Community Day","Family and Community Day is a public holiday in the Australian Capital Territory (ACT) in Australia on the first Monday of September/October school holidays.","Local holiday","ACT"
"2016-09-30","AFL Grand Final Friday",NA,"Local holiday","Vic"
"2016-10-02","Daylight Saving Time starts",NA,"Clock change/Daylight Saving Time","All"
"2016-10-03","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Hebrew","All"
"2016-10-03","Muharram/Islamic New Year","Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.","Muslim","All"
"2016-10-03","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","Qld"
"2016-10-03","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NSW, ACT, SA"
"2016-10-04","Feast of St Francis of Assisi","Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
"2016-10-12","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Hebrew","All"
"2016-10-17","First day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.","Hebrew","All"
"2016-10-23","Hoshana Rabbah","Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
"2016-10-24","Shemini Atzeret","Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"2016-10-25","Simchat Torah","Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"2016-10-30","Diwali/Deepavali","Diwali, also known as the Festival of Lights, marks the beginning of the Hindu New Year.","Observance","All"
"2016-10-31","Halloween","Halloween is a festive occasion that is celebrated in Australian communities on October 31 each year.","Observance","All"
"2016-11-01","All Saints' Day","Many churches in Australia annually observe All Saints' Day, also known as All Hallows' Day.","Christian","All"
"2016-11-01","Melbourne Cup Day","Melbourne Cup Day is Australia’s most celebrated horse racing event. It is an annual public holiday in the state of Victoria and is observed nationwide on the first Tuesday of November.","Local holiday","Vic"
"2016-11-02","All Souls' Day","All Souls’ Day is observed among some Christians in Australia on November 2 each year.","Christian","All"
"2016-11-07","Recreation Day","Recreation Day is annually celebrated in northern Tasmania, in Australia, on the first Monday of November.","Local holiday","Tas (northern)"
"2016-11-11","Remembrance Day","Remembrance Day in Australia is annually observed on November 11 although it is not a public holiday. This event remembers those who died as a result of war, particularly from World War I onwards.","Observance","All"
"2016-11-27","First Sunday of Advent","Many Christians mark the First Sunday of Advent as the start of the Advent season leading up to Christmas.","Observance","All"
"2016-12-08","Feast of the Immaculate Conception","Some Christians, particularly those of Catholic faith, in Australia mark the Feast of the Immaculate Conception on or around December 8.","Christian","All"
"2016-12-12","Milad un Nabi (Mawlid)","Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.","Muslim","All"
"2016-12-21","December Solstice",NA,"Season","All"
"2016-12-24","Christmas Eve","Christmas Eve in Australia is annually celebrated on December 24, which is the day before Christmas Day.","Observance","All"
"2016-12-25","First Day of Hanukkah","The first day of Hanukkah is the start of the Hanukkah period, which lasts for 8 days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.","Hebrew","All"
"2016-12-25","Christmas Day","Christians celebrate the birth of Jesus on Christmas Day, which is in the middle of summer in Australia.","National holiday, Christian","All"
"2016-12-26","Boxing Day","December 26 is the Boxing Day holiday celebrated in Australia.","National holiday, Christian","All except SA"
"2016-12-26","Proclamation Day","December 26 is the Boxing Day holiday celebrated in Australia.","Local holiday","SA"
"2016-12-27","Christmas/Boxing Day Holiday",NA,"National holiday","All except SA"
"2016-12-27","Proclamation Day",NA,"National holiday","SA"
"2016-12-31","New Year's Eve","Many Australians celebrate New Year’s Eve on December 31 each year, which coincides with the date before New Year’s Day in the Gregorian calendar.","Observance","All"
"2017-01-01","Last day of Hanukkah","The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.","Hebrew","All"
"2017-01-01","New Year's Day","New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.","National holiday","All"
"2017-01-02","New Year's Day observed","New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.","National holiday","All"
"2017-01-06","Epiphany","Many people in countries such as Australia annually observe Epiphany on January 6.","Christian","All"
"2017-01-07","Orthodox Christmas Day","Many Orthodox Christian churches in countries such as Australia observe Christmas Day on or near January 7 in the Gregorian calendar.","Orthodox","All"
"2017-01-14","Orthodox New Year","Many Orthodox Christian churches in countries such as Australia celebrate New Year’s Day on January 14 in the Gregorian calendar.","Orthodox","All"
"2017-01-26","Australia Day","Australia Day is a day of celebrations for Australians. It is celebrated on January 26 each year.","National holiday","All"
"2017-01-28","Chinese New Year","Chinese New Year marks the first day of the New Year in the Chinese calendar.","Observance","All"
"2017-02-11","Tu B'Shevat (Arbor Day)","Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.","Hebrew","All"
"2017-02-13","Royal Hobart Regatta","The Royal Hobart Regatta is an annual public holiday in southern Tasmania, Australia, on the second Monday in February.","Local holiday","Tas (southern)"
"2017-02-14","Valentine's Day","Valentine’s Day, which is annually held on February 14, is one of the most romantic days in the year for many people in countries such as Australia.","Observance","All"
"2017-02-28","Carnival/Shrove Tuesday","Shrove Tuesday is the day before the start of the Lent period for many Christians in Australia.","Christian","All"
"2017-03-01","Ash Wednesday","Ash Wednesday marks the first day of Lent in for many Christians in Australia.","Christian","All"
"2017-03-06","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","WA"
"2017-03-12","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"2017-03-13","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Vic"
"2017-03-13","Eight Hours Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Tas"
"2017-03-13","Adelaide Cup","Adelaide Cup is a state holiday and a horse racing event in South Australia.","Local holiday","SA"
"2017-03-13","Canberra Day","Canberra Day is a public holiday that celebrates Canberra’s official founding in the Australian Capital Territory.","Local holiday","ACT"
"2017-03-16","National Close the Gap Day","","Observance","All"
"2017-03-17","St Patrick's Day","St Patrick’s Day is a popular observance in Australia to honor Irish culture and commemorate one of Ireland’s patron saints, St Patrick.","Observance","All"
"2017-03-20","March Equinox",NA,"Season","All"
"2017-03-21","Harmony Day","Harmony Day is a national observance that celebrates Australia’s cultural, linguistic and religious diversity on March 21 every year.","Observance","All"
"2017-04-02","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"2017-04-09","Palm Sunday","Palm Sunday in Australia celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"2017-04-11","First day of Passover"," Passover is a Jewish observance of the liberation from slavery and the Israelites' exodus from Egypt around 3000 years ago.","Hebrew","All"
"2017-04-13","Maundy Thursday","Many Christians in the Australia celebrate Maundy Thursday on the Thursday before Good Friday.","Christian","All"
"2017-04-14","Orthodox Good Friday","Many Orthodox Christians in Australia remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
"2017-04-14","Good Friday","Good Friday is two days before Easter Sunday and is a national holiday in Australia.","National holiday, Christian","All"
"2017-04-15","Orthodox Holy Saturday","Many Orthodox Christians in Australia remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.","Orthodox","All"
"2017-04-15","Holy Saturday","Holy Saturday is the day before Easter Sunday and is a public holiday in some states and the two territories in Australia.","Common local holiday","All except Tas, WA"
"2017-04-16","Orthodox Easter","Many Orthodox Christians in Australia celebrate Jesus Christ’s resurrection on Easter Sunday, also known as Pascha.","Orthodox","All"
"2017-04-16","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Observance","All"
"2017-04-16","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","ACT"
"2017-04-16","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","Vic"
"2017-04-16","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","Qld"
"2017-04-16","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Local holiday","NSW"
"2017-04-17","Orthodox Easter Monday","Many Orthodox churches in Australia observe Easter Monday on the day after the Orthodox Easter Sunday date.","Orthodox","All"
"2017-04-17","Easter Monday","Easter Monday is the day after Easter Sunday and is a nationwide holiday in Australia.","National holiday, Christian","All"
"2017-04-18","Last day of Passover","The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","Hebrew","All"
"2017-04-18","Easter Tuesday","Easter Tuesday is a public holiday in the Australian state of Tasmania.","Local holiday","Tas"
"2017-04-24","Yom HaShoah","Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.","Hebrew","All"
"2017-04-24","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"2017-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","WA"
"2017-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","NT"
"2017-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","All except NT, WA"
"2017-05-01","May Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NT"
"2017-05-01","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Qld"
"2017-05-02","Yom HaAtzmaut","Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2017-05-14","Lag B'Omer","Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2017-05-14","Mother's Day","Mother’s Day is celebrated in Australia on the second Sunday of May each year.","Observance","All"
"2017-05-25","Ascension Day","Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.","Christian","All"
"2017-05-26","National Sorry Day","National Sorry Day is an Australia-wide observance that acknowledges the impact of Australia’s Stolen Generations.","Observance","All"
"2017-05-27","Ramadan Start","Many Muslims in Australia welcome Ramadan as period of fasting, self-evaluation and spiritual growth. Ramadan is the ninth month in the Islamic calendar.","Muslim","All"
"2017-05-31","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.","Hebrew","All"
"2017-06-04","Pentecost","Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"2017-06-05","Whit Monday","Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.","Christian","All"
"2017-06-05","Western Australia Day","Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.","Common local holiday","WA"
"2017-06-06","Queensland Day","Queenslanders commemorate their state’s birthday on Queensland Day in Australia.","Local observance","All"
"2017-06-11","Trinity Sunday","Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.","Christian","All"
"2017-06-12","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","All except Qld, WA"
"2017-06-15","Corpus Christi","Corpus Christi is a Christian observance that honors the Holy Eucharist.","Christian","All"
"2017-06-21","Laylatul Qadr (Night of Power)","Laylat al-Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.","Muslim","All"
"2017-06-21","June Solstice",NA,"Season","All"
"2017-06-26","Eid ul Fitr","Eid al-Fitr, which is on the first day of the Islamic month of Shawwal, marks the end of the month-long fast of Ramadan.","Muslim","All"
"2017-07-02","First Day of NAIDOC Week",NA,"Observance","All"
"2017-08-01","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"2017-08-07","New South Wales Bank Holiday","The New South Wales Bank Holiday falls on the first Monday of August.","Local holiday","NSW"
"2017-08-07","Northern Territory Picnic Day","Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.","Local holiday","NT"
"2017-08-15","Assumption of Mary","The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.","Christian","All"
"2017-08-16","Royal National Agricultural Show Day Queensland","The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.","Local holiday","Qld"
"2017-09-02","Eid ul Adha","Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.","Muslim","All"
"2017-09-03","Father's Day","Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.","Observance","All"
"2017-09-21","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Hebrew","All"
"2017-09-22","Muharram/Islamic New Year","Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.","Muslim","All"
"2017-09-23","September Equinox",NA,"Season","All"
"2017-09-25","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","WA"
"2017-09-25","Family & Community Day","Family and Community Day is a public holiday in the Australian Capital Territory (ACT) in Australia on the first Monday of September/October school holidays.","Local holiday","ACT"
"2017-09-29","AFL Grand Final Friday",NA,"Local holiday","Vic"
"2017-09-30","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Hebrew","All"
"2017-10-01","Daylight Saving Time starts",NA,"Clock change/Daylight Saving Time","All"
"2017-10-02","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","Qld"
"2017-10-02","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NSW, ACT, SA"
"2017-10-04","Feast of St Francis of Assisi","Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
"2017-10-05","First day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.","Hebrew","All"
"2017-10-11","Hoshana Rabbah","Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
"2017-10-12","Shemini Atzeret","Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"2017-10-13","Simchat Torah","Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"2017-10-19","Diwali/Deepavali","Diwali, also known as the Festival of Lights, marks the beginning of the Hindu New Year.","Observance","All"
"2017-10-31","Halloween","Halloween is a festive occasion that is celebrated in Australian communities on October 31 each year.","Observance","All"
"2017-11-01","All Saints' Day","Many churches in Australia annually observe All Saints' Day, also known as All Hallows' Day.","Christian","All"
"2017-11-02","All Souls' Day","All Souls’ Day is observed among some Christians in Australia on November 2 each year.","Christian","All"
"2017-11-06","Recreation Day","Recreation Day is annually celebrated in northern Tasmania, in Australia, on the first Monday of November.","Local holiday","Tas (northern)"
"2017-11-07","Melbourne Cup Day","Melbourne Cup Day is Australia’s most celebrated horse racing event. It is an annual public holiday in the state of Victoria and is observed nationwide on the first Tuesday of November.","Local holiday","Vic"
"2017-11-11","Remembrance Day","Remembrance Day in Australia is annually observed on November 11 although it is not a public holiday. This event remembers those who died as a result of war, particularly from World War I onwards.","Observance","All"
"2017-12-01","Milad un Nabi (Mawlid)","Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.","Muslim","All"
"2017-12-03","First Sunday of Advent","Many Christians mark the First Sunday of Advent as the start of the Advent season leading up to Christmas.","Observance","All"
"2017-12-08","Feast of the Immaculate Conception","Some Christians, particularly those of Catholic faith, in Australia mark the Feast of the Immaculate Conception on or around December 8.","Christian","All"
"2017-12-13","First Day of Hanukkah","The first day of Hanukkah is the start of the Hanukkah period, which lasts for 8 days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.","Hebrew","All"
"2017-12-20","Last day of Hanukkah","The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.","Hebrew","All"
"2017-12-22","December Solstice",NA,"Season","All"
"2017-12-24","Christmas Eve","Christmas Eve in Australia is annually celebrated on December 24, which is the day before Christmas Day.","Observance","All"
"2017-12-25","Christmas Day","Christians celebrate the birth of Jesus on Christmas Day, which is in the middle of summer in Australia.","National holiday, Christian","All"
"2017-12-26","Boxing Day","December 26 is the Boxing Day holiday celebrated in Australia.","National holiday, Christian","All except SA"
"2017-12-26","Proclamation Day","December 26 is the Boxing Day holiday celebrated in Australia.","Local holiday","SA"
"2017-12-31","New Year's Eve","Many Australians celebrate New Year’s Eve on December 31 each year, which coincides with the date before New Year’s Day in the Gregorian calendar.","Observance","All"
"2018-01-01","New Year's Day","New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.","National holiday","All"
"2018-01-06","Epiphany","Many people in countries such as Australia annually observe Epiphany on January 6.","Christian","All"
"2018-01-07","Orthodox Christmas Day","Many Orthodox Christian churches in countries such as Australia observe Christmas Day on or near January 7 in the Gregorian calendar.","Orthodox","All"
"2018-01-14","Orthodox New Year","Many Orthodox Christian churches in countries such as Australia celebrate New Year’s Day on January 14 in the Gregorian calendar.","Orthodox","All"
"2018-01-26","Australia Day","Australia Day is a day of celebrations for Australians. It is celebrated on January 26 each year.","National holiday","All"
"2018-01-31","Tu B'Shevat (Arbor Day)","Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.","Hebrew","All"
"2018-02-12","Royal Hobart Regatta","The Royal Hobart Regatta is an annual public holiday in southern Tasmania, Australia, on the second Monday in February.","Local holiday","Tas (southern)"
"2018-02-13","Carnival/Shrove Tuesday","Shrove Tuesday is the day before the start of the Lent period for many Christians in Australia.","Christian","All"
"2018-02-14","Ash Wednesday","Ash Wednesday marks the first day of Lent in for many Christians in Australia.","Christian","All"
"2018-02-14","Valentine's Day","Valentine’s Day, which is annually held on February 14, is one of the most romantic days in the year for many people in countries such as Australia.","Observance","All"
"2018-02-16","Chinese New Year","Chinese New Year marks the first day of the New Year in the Chinese calendar.","Observance","All"
"2018-03-01","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"2018-03-05","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","WA"
"2018-03-12","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Vic"
"2018-03-12","Eight Hours Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Tas"
"2018-03-12","Adelaide Cup","Adelaide Cup is a state holiday and a horse racing event in South Australia.","Local holiday","SA"
"2018-03-12","Canberra Day","Canberra Day is a public holiday that celebrates Canberra’s official founding in the Australian Capital Territory.","Local holiday","ACT"
"2018-03-15","National Close the Gap Day","","Observance","All"
