"date","name","description","type","locations"
"1980-09-25","First day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.","Hebrew","All"
"1980-09-29","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","WA"
"1980-10-01","Hoshana Rabbah","Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
"1980-10-02","Shemini Atzeret","Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1980-10-03","Simchat Torah","Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1980-10-04","Feast of St Francis of Assisi","Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
"1980-10-06","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NSW, ACT"
"1980-10-13","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","SA"
"1980-10-20","Eid ul Adha","Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.","Muslim","All"
"1980-10-26","Daylight Saving Time starts",NA,"Clock change/Daylight Saving Time","All"
"1980-10-31","Halloween","Halloween is a festive occasion that is celebrated in Australian communities on October 31 each year.","Observance","All"
"1980-11-01","All Saints' Day","Many churches in Australia annually observe All Saints' Day, also known as All Hallows' Day.","Christian","All"
"1980-11-02","All Souls' Day","All Souls’ Day is observed among some Christians in Australia on November 2 each year.","Christian","All"
"1980-11-03","First Monday of November","Recreation Day is annually celebrated in northern Tasmania, in Australia, on the first Monday of November.","Local holiday","Tas (northern)"
"1980-11-04","Melbourne Cup Day","Melbourne Cup Day is Australia’s most celebrated horse racing event. It is an annual public holiday in the state of Victoria and is observed nationwide on the first Tuesday of November.","Local holiday","Vic (partly)"
"1980-11-09","Muharram/Islamic New Year","Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.","Muslim","All"
"1980-11-11","Remembrance Day","Remembrance Day in Australia is annually observed on November 11 although it is not a public holiday. This event remembers those who died as a result of war, particularly from World War I onwards.","Observance","All"
"1980-11-30","First Sunday of Advent","Many Christians mark the First Sunday of Advent as the start of the Advent season leading up to Christmas.","Observance","All"
"1980-12-03","First Day of Hanukkah","The first day of Hanukkah is the start of the Hanukkah period, which lasts for 8 days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.","Hebrew","All"
"1980-12-08","Feast of the Immaculate Conception","Some Christians, particularly those of Catholic faith, in Australia mark the Feast of the Immaculate Conception on or around December 8.","Christian","All"
"1980-12-10","Last day of Hanukkah","The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.","Hebrew","All"
"1980-12-22","December Solstice",NA,"Season","All"
"1980-12-24","Christmas Eve","Christmas Eve in Australia is annually celebrated on December 24, which is the day before Christmas Day.","Observance","All"
"1980-12-25","Christmas Day","Christians celebrate the birth of Jesus on Christmas Day, which is in the middle of summer in Australia.","National holiday, Christian","All"
"1980-12-26","Boxing Day","December 26 is the Boxing Day holiday celebrated in Australia.","National holiday, Christian","All except SA"
"1980-12-27","Proclamation Day","December 26 is the Boxing Day holiday celebrated in Australia.","Local holiday","SA"
"1980-12-31","New Year's Eve","Many Australians celebrate New Year’s Eve on December 31 each year, which coincides with the date before New Year’s Day in the Gregorian calendar.","Observance","All"
"1981-01-01","New Year's Day","New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.","National holiday","All"
"1981-01-06","Epiphany","Many people in countries such as Australia annually observe Epiphany on January 6.","Christian","All"
"1981-01-07","Orthodox Christmas Day","Many Orthodox Christian churches in countries such as Australia observe Christmas Day on or near January 7 in the Gregorian calendar.","Orthodox","All"
"1981-01-14","Orthodox New Year","Many Orthodox Christian churches in countries such as Australia celebrate New Year’s Day on January 14 in the Gregorian calendar.","Orthodox","All"
"1981-01-18","Milad un Nabi (Mawlid)","Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.","Muslim","All"
"1981-01-20","Tu B'Shevat (Arbor Day)","Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.","Hebrew","All"
"1981-01-26","Australia Day","Australia Day is a day of celebrations for Australians. It is celebrated on January 26 each year.","National holiday","All"
"1981-02-05","Chinese New Year","Chinese New Year marks the first day of the New Year in the Chinese calendar.","Observance","All"
"1981-02-09","Royal Hobart Regatta","The Royal Hobart Regatta is an annual public holiday in southern Tasmania, Australia, on the second Monday in February.","Local holiday","Tas (southern)"
"1981-02-14","Valentine's Day","Valentine’s Day, which is annually held on February 14, is one of the most romantic days in the year for many people in countries such as Australia.","Observance","All"
"1981-03-01","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"1981-03-02","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","WA"
"1981-03-02","Eight Hours Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Tas"
"1981-03-03","Carnival / Shrove Tuesday","Shrove Tuesday is the day before the start of the Lent period for many Christians in Australia.","Christian","All"
"1981-03-04","Ash Wednesday","Ash Wednesday marks the first day of Lent in for many Christians in Australia.","Christian","All"
"1981-03-09","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Vic"
"1981-03-16","Canberra Day","Canberra Day is a public holiday that celebrates Canberra’s official founding in the Australian Capital Territory.","Local holiday","ACT"
"1981-03-17","St Patrick's Day","St Patrick’s Day is a popular observance in Australia to honor Irish culture and commemorate one of Ireland’s patron saints, St Patrick.","Observance","All"
"1981-03-20","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"1981-03-21","March Equinox",NA,"Season","All"
"1981-04-12","Palm Sunday","Palm Sunday in Australia celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"1981-04-16","Maundy Thursday","Many Christians in the Australia celebrate Maundy Thursday on the Thursday before Good Friday.","Christian","All"
"1981-04-17","Good Friday","Good Friday is two days before Easter Sunday and is a national holiday in Australia.","National holiday, Christian","All"
"1981-04-18","Holy Saturday","Holy Saturday is the day before Easter Sunday and is a public holiday in some states and the two territories in Australia.","National holiday, Christian","All"
"1981-04-19","First day of Passover"," Passover is a Jewish observance of the liberation from slavery and the Israelites' exodus from Egypt around 3000 years ago.","Hebrew","All"
"1981-04-19","Easter Sunday","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Observance, Christian","All"
"1981-04-20","Easter Monday","Easter Monday is the day after Easter Sunday and is a nationwide holiday in Australia.","National holiday, Christian","All"
"1981-04-21","Easter Tuesday","Easter Tuesday is a public holiday in the Australian state of Tasmania.","Local holiday","Tas"
"1981-04-24","Orthodox Good Friday","Many Orthodox Christians in Australia remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
"1981-04-25","Orthodox Holy Saturday","Many Orthodox Christians in Australia remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.","Orthodox","All"
"1981-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","ACT, Tas, Vic, Christmas Island, Norfolk Island, Cocos and Keeling Islands, Heard and McDonald Islands"
"1981-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","NSW, NT, Qld, SA"
"1981-04-26","Last day of Passover","The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","Hebrew","All"
