"","date_id","calendar_date","year_num","month_num","day_num","week_num","week_num_year","year_week_num","day_name","day_name_abbrev","day_number","weekend_ind","season","event_name","event_type","holiday_ind"
"68",19800311,1980-03-11,1980,1,11,10,1980,"1980-10","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"69",19800312,1980-03-12,1980,1,12,10,1980,"1980-10","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"70",19800313,1980-03-13,1980,1,13,10,1980,"1980-10","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"71",19800314,1980-03-14,1980,1,14,11,1980,"1980-11","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"72",19800315,1980-03-15,1980,1,15,11,1980,"1980-11","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"73",19800316,1980-03-16,1980,1,16,11,1980,"1980-11","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"74",19800317,1980-03-17,1980,1,17,11,1980,"1980-11","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"75",19800318,1980-03-18,1980,1,18,11,1980,"1980-11","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"76",19800319,1980-03-19,1980,1,19,11,1980,"1980-11","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"77",19800320,1980-03-20,1980,1,20,11,1980,"1980-11","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"78",19800321,1980-03-21,1980,1,21,12,1980,"1980-12","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"79",19800322,1980-03-22,1980,1,22,12,1980,"1980-12","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"80",19800323,1980-03-23,1980,1,23,12,1980,"1980-12","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"81",19800324,1980-03-24,1980,1,24,12,1980,"1980-12","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"82",19800325,1980-03-25,1980,1,25,12,1980,"1980-12","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"83",19800326,1980-03-26,1980,1,26,12,1980,"1980-12","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"84",19800327,1980-03-27,1980,1,27,12,1980,"1980-12","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"85",19800328,1980-03-28,1980,1,28,13,1980,"1980-13","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"86",19800329,1980-03-29,1980,1,29,13,1980,"1980-13","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"87",19800330,1980-03-30,1980,1,30,13,1980,"1980-13","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"88",19800331,1980-03-31,1980,1,31,13,1980,"1980-13","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"89",19800401,1980-04-01,1980,2,1,13,1980,"1980-13","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"90",19800402,1980-04-02,1980,2,2,13,1980,"1980-13","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"91",19800403,1980-04-03,1980,2,3,13,1980,"1980-13","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"92",19800404,1980-04-04,1980,2,4,14,1980,"1980-14","Friday","Fri",6,FALSE,"Winter","Good Friday","Local holiday, Christian",FALSE
"93",19800405,1980-04-05,1980,2,5,14,1980,"1980-14","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"94",19800406,1980-04-06,1980,2,6,14,1980,"1980-14","Sunday","Sun",1,TRUE,"Winter","Easter Sunday","Observance, Christian",FALSE
"95",19800407,1980-04-07,1980,2,7,14,1980,"1980-14","Monday","Mon",2,FALSE,"Winter","Easter Monday","Observance, Christian",FALSE
"96",19800408,1980-04-08,1980,2,8,14,1980,"1980-14","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"97",19800409,1980-04-09,1980,2,9,14,1980,"1980-14","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"98",19800410,1980-04-10,1980,2,10,14,1980,"1980-14","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"99",19800411,1980-04-11,1980,2,11,15,1980,"1980-15","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"100",19800412,1980-04-12,1980,2,12,15,1980,"1980-15","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"101",19800413,1980-04-13,1980,2,13,15,1980,"1980-15","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"102",19800414,1980-04-14,1980,2,14,15,1980,"1980-15","Monday","Mon",2,FALSE,"Winter","Oscars","Oscars",FALSE
"103",19800415,1980-04-15,1980,2,15,15,1980,"1980-15","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"104",19800416,1980-04-16,1980,2,16,15,1980,"1980-15","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"105",19800417,1980-04-17,1980,2,17,15,1980,"1980-15","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"106",19800418,1980-04-18,1980,2,18,16,1980,"1980-16","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"107",19800419,1980-04-19,1980,2,19,16,1980,"1980-16","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"108",19800420,1980-04-20,1980,2,20,16,1980,"1980-16","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"109",19800421,1980-04-21,1980,2,21,16,1980,"1980-16","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"110",19800422,1980-04-22,1980,2,22,16,1980,"1980-16","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
